"Symbol ","Date "," Settlement Date ","Series ","Open Price ","High Price ","Low Price ","PREV. CLOSE ","Close Price ","52 weeks High ","52 weeks Low ","Total Traded Quantity ","Total Traded Value in Rs.","Number of Trades "
"TCS","02-JUL-2026","04-AUG-2026","X8","0.60","0.60","0.60","1.66","0.60","9.00","0.11","1","0.60","1"
"TCS","01-JUL-2026","07-JUL-2026","X7","2.00","2.00","2.00","0.10","2.00","44.57","0.02","675","1,350.00","3"
"TCS","01-JUL-2026","01-SEP-2026","X9","0.11","0.11","0.11","0.48","0.11","2.00","0.11","2","0.22","1"
"TCS","01-JUL-2026","04-AUG-2026","X8","0.50","5.88","0.50","2.00","1.66","9.00","0.11","1,918","8,808.47","26"
"TCS","30-JUN-2026","07-JUL-2026","L1","2.50","3.40","2.50","3.99","3.40","6.00","0.50","2,925","7,373.70","5"
"TCS","30-JUN-2026","07-JUL-2026","X7","0.75","0.75","0.10","0.03","0.10","44.57","0.02","66","7.25","2"
"TCS","30-JUN-2026","04-AUG-2026","X8","4.00","4.00","2.00","2.99","2.00","9.00","0.11","3,476","13,852.00","5"
"TCS","29-JUN-2026","07-JUL-2026","L1","1.52","3.99","1.52","3.50","3.99","6.00","0.50","38,863","1,28,950.50","38"
"TCS","29-JUN-2026","04-AUG-2026","X8","2.61","4.00","2.50","3.55","2.99","9.00","0.11","44,911","1,44,972.55","111"
"TCS","25-JUN-2026","07-JUL-2026","X7","0.03","0.03","0.03","0.25","0.03","44.57","0.02","15","0.45","1"
"TCS","25-JUN-2026","07-JUL-2026","L1","4.00","4.00","3.15","4.14","3.50","6.00","0.50","6,432","25,225.83","21"
"TCS","25-JUN-2026","04-AUG-2026","X8","3.00","5.00","3.00","4.48","3.55","9.00","0.11","6,69,031","26,06,331.70","525"
"TCS","24-JUN-2026","04-AUG-2026","X8","2.99","9.00","2.00","2.99","4.48","9.00","0.11","11,41,353","47,41,231.09","1,270"
"TCS","24-JUN-2026","07-JUL-2026","L1","3.00","6.00","2.61","3.00","4.14","6.00","0.50","1,85,318","7,42,496.06","416"
"TCS","24-JUN-2026","07-JUL-2026","X7","3.20","3.20","0.25","1.50","0.25","44.57","0.02","23,653","12,570.75","18"
"TCS","23-JUN-2026","04-AUG-2026","X8","2.99","3.00","1.56","2.50","2.99","6.80","0.11","4,83,297","14,13,966.82","95"
"TCS","23-JUN-2026","07-JUL-2026","L1","3.00","3.10","2.30","3.00","3.00","3.75","0.50","30,202","89,163.27","104"
"TCS","23-JUN-2026","07-JUL-2026","X7","1.30","1.50","0.55","1.05","1.50","44.57","0.02","369","267.58","10"
"TCS","22-JUN-2026","07-JUL-2026","L1","3.70","3.70","2.50","3.50","3.00","3.75","0.50","1,04,692","3,38,830.31","328"
"TCS","22-JUN-2026","04-AUG-2026","X8","1.00","3.50","1.00","3.00","2.50","6.80","0.11","8,90,912","27,38,988.92","358"
"TCS","22-JUN-2026","07-JUL-2026","X7","1.00","1.90","1.00","0.91","1.05","44.57","0.02","6,104","8,743.24","31"
"TCS","19-JUN-2026","04-AUG-2026","X8","4.40","4.40","3.00","4.00","3.00","6.80","0.11","3,45,366","12,04,990.35","64"
"TCS","19-JUN-2026","07-JUL-2026","X7","3.93","3.93","0.91","3.93","0.91","44.57","0.02","3,434","10,136.07","28"
"TCS","19-JUN-2026","07-JUL-2026","L1","1.99","3.75","1.99","2.20","3.50","3.75","0.50","1,25,003","3,93,178.74","142"
"TCS","18-JUN-2026","04-AUG-2026","X8","1.50","4.00","1.50","1.50","4.00","6.80","0.11","26,938","84,294.74","39"
"TCS","18-JUN-2026","07-JUL-2026","X7","2.80","3.93","2.80","0.02","3.93","44.57","0.02","268","1,017.76","4"
